,Class,Sample,Date,Peak,scan_number,Intensity,Area%,CAS_ID,Quality,Peak_ID,RI,Sample_ID
97,CU,CU3,2015/11/03,61,5229,263740,0.35,000106-27-4,90.0,CU3-1103-61,11.5125,CU3-1103
98,CU,CU3,2015/11/03,62,5268,69019,0.09,000629-92-5,43.0,CU3-1103-62,11.7981438515,CU3-1103
99,CU,CU3,2015/11/03,62,5268,69019,0.09,000075-83-2,47.0,CU3-1103-62,11.7981438515,CU3-1103
100,CU,CU3,2015/11/03,62,5268,69019,0.09,001070-87-7,43.0,CU3-1103-62,11.7981438515,CU3-1103
101,CU,CU3,2015/11/03,63,5420,49384,0.07,000141-62-8,64.0,CU3-1103-63,13.9972375691,CU3-1103
102,CU,CU3,2015/11/03,63,5420,49384,0.07,000541-05-9,59.0,CU3-1103-63,13.9972375691,CU3-1103
103,CU,CU3,2015/11/03,64,5481,63083,0.08,007525-62-4,96.0,CU3-1103-64,16.3090909091,CU3-1103
104,CU,CU3,2015/11/03,64,5481,63083,0.08,003454-07-7,94.0,CU3-1103-64,16.3090909091,CU3-1103
105,CU,CU3,2015/11/03,65,5580,542578,0.72,000626-77-7,91.0,CU3-1103-65,38.1774193548,CU3-1103
106,CU,CU3,2015/11/03,66,5669,861568,1.14,002445-78-5,83.0,CU3-1103-66,11.0625931446,CU3-1103
107,CU,CU3,2015/11/03,67,5682,1019629,1.35,002445-76-3,90.0,CU3-1103-67,11.0783424077,CU3-1103
108,CU,CU3,2015/11/03,68,5776,173884,0.23,999553-38-0,53.0,CU3-1103-68,11.2068381855,CU3-1103
109,CU,CU3,2015/11/03,68,5776,173884,0.23,999368-32-6,59.0,CU3-1103-68,11.2068381855,CU3-1103
110,CU,CU3,2015/11/03,68,5776,173884,0.23,068595-69-7,53.0,CU3-1103-68,11.2068381855,CU3-1103
111,CU,CU3,2015/11/03,69,5999,194655,0.26,068039-26-9,78.0,CU3-1103-69,11.6831916903,CU3-1103
112,CU,CU3,2015/11/03,70,6101,85545,0.11,999556-92-5,72.0,CU3-1103-70,12.0535714286,CU3-1103
113,CU,CU3,2015/11/03,70,6101,85545,0.11,127744-55-2,50.0,CU3-1103-70,12.0535714286,CU3-1103
114,CU,CU3,2015/11/03,70,6101,85545,0.11,999556-34-9,50.0,CU3-1103-70,12.0535714286,CU3-1103
115,CU,CU3,2015/11/03,71,6165,890753,1.18,999656-58-4,64.0,CU3-1103-71,12.3830213904,CU3-1103
116,CU,CU3,2015/11/03,71,6165,890753,1.18,000000-00-0,64.0,CU3-1103-71,12.3830213904,CU3-1103
117,CU,CU3,2015/11/03,71,6165,890753,1.18,055638-45-4,64.0,CU3-1103-71,12.3830213904,CU3-1103
118,CU,CU3,2015/11/03,72,6493,2086452,2.76,000626-82-4,91.0,CU3-1103-72,23.4022556391,CU3-1103
119,CU,CU3,2015/11/03,73,6873,39251,0.05,000556-67-2,72.0,CU3-1103-73,12.5121627598,CU3-1103
120,CU,CU3,2015/11/03,74,6920,3138842,4.15,999145-36-2,83.0,CU3-1103-74,12.6398081535,CU3-1103
121,CU,CU3,2015/11/03,74,6920,3138842,4.15,010032-15-2,83.0,CU3-1103-74,12.6398081535,CU3-1103
122,CU,CU3,2015/11/03,75,7065,404172,0.53,999145-27-3,86.0,CU3-1103-75,13.2186891629,CU3-1103
123,CU,CU3,2015/11/03,75,7065,404172,0.53,999145-27-2,87.0,CU3-1103-75,13.2186891629,CU3-1103
124,CU,CU3,2015/11/03,75,7065,404172,0.53,002198-61-0,90.0,CU3-1103-75,13.2186891629,CU3-1103
125,CU,CU3,2015/11/03,76,7388,103692,0.14,000540-07-8,43.0,CU3-1103-76,21.3606060606,CU3-1103
